Organization,Gift Year,Gift Amount,Org-reported mission statement,Website,Org-reported geographies of service,Org-reported focus areas
"Communities In Schools of South Central Texas","2021","Disclosure delayed for benefit of recipient","Communities In Schools surrounds students with a community of support, empowering them to stay in school and achieve in life.","https://www.cis-sct.org/","Comal County, TX; Guadalupe County, TX","Creative youth development; Elementary, secondary education; Race and ethnicity; Child development and welfare; Mental and behavioral health"
"Communities In Schools of Southeast Texas","2022","$1500000","To surround students with a community of support empowering them to stay in school and achieve in life","https://www.cisset.org","Texas, US; Beaumont, TX; Jefferson County, TX","Bridging divides; Early learning; Elementary, secondary education; Youth development; Mental and behavioral health"
"Communities In Schools of Tennessee","2022","$2500000","Our mission is to surround students with a community of support, empowering them to stay in school and achieve in life.","https://www.cistn.org/","Tennessee, US; Nashville, TN","Elementary, secondary education"
"Communities In Schools of the Big Country","2022","Disclosure delayed for benefit of recipient","Our mission is to surround students with a community of support, empowering them to stay in school and achieve in life.","https://cisbigcountry.org","Texas, US; Abilene, TX","Bridging divides; Elementary, secondary education; Youth development; Mental and behavioral health"
"Communities In Schools of the Dallas Region","2021","$3300000","The mission of Communities In Schools of the Dallas Region is to surround students with a community of support, empowering them to stay in school and achieve in life.","https://cisdallas.org/","Collin County, TX; Dallas County, TX; Grayson County, TX","Elementary, secondary education; Postsecondary, tertiary education; Youth development; Mental and behavioral health"
"Communities In Schools of the Heart of Texas","2021","$2000000","The mission of Communities In Schools of the Heart of Texas is to surround students with a community of support, empowering them to stay in school and achieve in life.","https://www.cishot.org/","McLennan County, TX; Waco, TX","Livelihoods and workforce development; Early learning; Elementary, secondary education; Youth development; Mental and behavioral health"
"Communities In Schools of the South Plains","2021","$3300000","The mission of Communities In Schools of the South Plains is to surround students with a community of support, empowering them to stay in school and achieve in life.","https://www.cissouthplains.org/","Texas, US; Lubbock, TX; South Plains, TX","Elementary, secondary education; Youth development; Race and ethnicity; Mental and behavioral health; Nutrition and food security"
"Communities In Schools of Virginia","2022","$1000000","Communities In Schools surrounds students with a community of support, empowering them to stay in school and achieve in life. CIS of Virginia supports six independent affiliates in advancing this mission while expanding our reach to high-need communities throughout the Commonwealth of Virginia.","https://cisofva.org/","Virginia, US","Elementary, secondary education; Postsecondary, tertiary education; Vocational education; Youth development"
"Communities In Schools of Washington","2021","$2250000","Our mission is to surround students with a community of support, empowering them to stay in school and achieve in life.","https://ciswa.org/","Washington, US","Elementary, secondary education; Youth development; Race and ethnicity"
"Communities Transforming Policing Fund","2021","Disclosure delayed for benefit of recipient","The Communities Transforming Policing Fund is dedicated to supporting local grassroots organizing groups led by and for communities most impacted by deadly and discriminatory policing practices. We resource groups to build power, increase police accountability and transparency, end criminalization, and shift power and resources away from punitive carceral responses to harm to preventative, transformative community-based safety strategies.","https://borealisphilanthropy.org/ctpf2021loi/","United States","Civic and social engagement; Incarceration and justice system involvement; Race and ethnicity; Fund"
